reg_no,title,category,publisher,shelf
A-0001,โภชนาการพื้นฐาน เล่ม 1,สังคมศึกษา,History Press,ชั้น A9
A-0002,ฐานข้อมูลพื้นฐาน 2024: Workshop,คอมพิวเตอร์,ABC Publishing,ชั้น A6
A-0003,เคมีขั้นสูง 2024,เทคโนโลยี,History Press,ชั้น E6
A-0004,โภชนาการคู่มือ 2026,นิยาย,Learning Co.,ชั้น A1
A-0005,ความปลอดภัยไซเบอร์ขั้นกลาง 2026,วิทยาศาสตร์,History Press,ชั้น E9
A-0006,การตลาดพื้นฐาน เล่ม 2,ธุรกิจ,TechWorld,ชั้น D9
A-0007,เศรษฐศาสตร์เบื้องต้น 2025,ศิลปะ,XYZ Press,ชั้น D6
A-0008,กฎหมายเบื้องต้นสำหรับผู้เริ่มต้น,การศึกษา,ABC Publishing,ชั้น E3
A-0009,ภูมิศาสตร์ฉบับสมบูรณ์ เล่ม 2,การศึกษา,EduPlus,ชั้น B8
A-0010,ปรัชญาสำหรับผู้เริ่มต้น เล่ม 3,สังคมศึกษา,Siam Knowledge,ชั้น B8
A-0011,เครือข่ายคอมพิวเตอร์พื้นฐาน,เทคโนโลยี,BookHub,ชั้น B6
A-0012,ฟิสิกส์เชิงปฏิบัติ 2026,อ้างอิง,BookHub,ชั้น D6
A-0013,ภูมิศาสตร์สำหรับผู้เริ่มต้น เล่ม 1,คอมพิวเตอร์,TechWorld,ชั้น C6
A-0014,เศรษฐศาสตร์พื้นฐาน ฉบับปรับปรุง,นิยาย,BookHub,ชั้น C1
A-0015,เคมีเชิงปฏิบัติ 2026,อ้างอิง,ThaiBooks,ชั้น A10
A-0016,เศรษฐศาสตร์ขั้นกลาง ฉบับปรับปรุง,เทคโนโลยี,Learning Co.,ชั้น E8
A-0017,ศิลปะเพื่อการสื่อสาร,สังคมศึกษา,Science House,ชั้น D3
A-0018,วรรณคดีไทยพื้นฐาน เล่ม 1,วิทยาศาสตร์,Siam Knowledge,ชั้น B1
A-0019,ปัญญาประดิษฐ์เพื่อการสื่อสาร: Workshop,นิยาย,ThaiBooks,ชั้น D4
A-0020,เศรษฐศาสตร์คู่มือ เล่ม 1,การศึกษา,Siam Knowledge,ชั้น D5
A-0021,ความปลอดภัยไซเบอร์ฉบับสมบูรณ์ Edition 3: Workshop,วิทยาศาสตร์,ThaiBooks,ชั้น A1
A-0022,ฐานข้อมูลฉบับสมบูรณ์ 2024,เทคโนโลยี,XYZ Press,ชั้น E1
A-0023,กฎหมายเบื้องต้นคู่มือ,ธุรกิจ,Science House,ชั้น D5
A-0024,ความปลอดภัยไซเบอร์คู่มือ เล่ม 1,สุขภาพ,ABC Publishing,ชั้น A8
A-0025,การพัฒนาซอฟต์แวร์สำหรับผู้เริ่มต้น ฉบับพิมพ์ครั้งที่ 2,สังคมศึกษา,NextGen Media,ชั้น A6
A-0026,ชีววิทยาเชิงปฏิบัติ เล่ม 2,เทคโนโลยี,Science House,ชั้น A9
A-0027,การออกแบบกราฟิกเชิงปฏิบัติ 2024,เทคโนโลยี,NextGen Media,ชั้น C8
A-0028,เคมีคู่มือ ฉบับปรับปรุง,ศิลปะ,Siam Knowledge,ชั้น E2
A-0029,บัญชีเชิงปฏิบัติ 2024,สังคมศึกษา,History Press,ชั้น A5
A-0030,การตลาดเบื้องต้น,นิยาย,History Press,ชั้น A1
A-0031,ชีววิทยาเบื้องต้น ฉบับปรับปรุง: แนวคิดและแบบฝึกหัด,ธุรกิจ,XYZ Press,ชั้น D3
A-0032,ภูมิศาสตร์ฉบับสมบูรณ์ 2025,วิทยาศาสตร์,BookHub,ชั้น D7
A-0033,ศิลปะเชิงปฏิบัติ ฉบับปรับปรุง,ศิลปะ,History Press,ชั้น A7
A-0034,ประวัติศาสตร์เพื่อการสื่อสาร Edition 3,สุขภาพ,BookHub,ชั้น A4
A-0035,การออกแบบกราฟิกพื้นฐาน เล่ม 1,ธุรกิจ,XYZ Press,ชั้น B6
A-0036,เคมีขั้นสูง 2024,ศิลปะ,Science House,ชั้น B8
A-0037,ปรัชญาขั้นสูง เล่ม 2,เทคโนโลยี,XYZ Press,ชั้น A4
A-0038,โภชนาการคู่มือ เล่ม 1,สังคมศึกษา,Science House,ชั้น C7
A-0039,วรรณคดีไทยเชิงปฏิบัติ ฉบับปรับปรุง,คอมพิวเตอร์,Science House,ชั้น C5
A-0040,การเขียนโปรแกรมเพื่อการสื่อสาร ฉบับพิมพ์ครั้งที่ 2,สุขภาพ,Learning Co.,ชั้น C8
A-0041,เครือข่ายคอมพิวเตอร์คู่มือ 2025,ภาษา,History Press,ชั้น A4
A-0042,ศิลปะคู่มือ เล่ม 1,คอมพิวเตอร์,ABC Publishing,ชั้น D8
A-0043,วรรณคดีไทยคู่มือ 2024,เทคโนโลยี,XYZ Press,ชั้น B2
A-0044,ชีววิทยาพื้นฐาน ฉบับปรับปรุง,นิยาย,History Press,ชั้น D8
A-0045,สุขศึกษาเบื้องต้น: Hands-on,นิยาย,Global Reader,ชั้น C1
A-0046,การพัฒนาซอฟต์แวร์ฉบับสมบูรณ์ ฉบับปรับปรุง,ธุรกิจ,History Press,ชั้น B7
A-0047,การเงินขั้นกลาง ฉบับพิมพ์ครั้งที่ 2,การศึกษา,ABC Publishing,ชั้น C10
A-0048,สุขศึกษาพื้นฐาน เล่ม 2,เทคโนโลยี,Learning Co.,ชั้น A9
A-0049,การพัฒนาซอฟต์แวร์สำหรับผู้เริ่มต้น เล่ม 2,ธุรกิจ,Learning Co.,ชั้น B1
A-0050,ปรัชญาคู่มือ ฉบับพิมพ์ครั้งที่ 2,อ้างอิง,Global Reader,ชั้น A1
A-0051,การออกแบบกราฟิกคู่มือ ฉบับพิมพ์ครั้งที่ 2,การศึกษา,Science House,ชั้น B7
A-0052,ประวัติศาสตร์พื้นฐาน 2024,ภาษา,NextGen Media,ชั้น B4
A-0053,เครือข่ายคอมพิวเตอร์สำหรับผู้เริ่มต้น ฉบับปรับปรุง,ภาษา,Global Reader,ชั้น D2
A-0054,เศรษฐศาสตร์เบื้องต้น เล่ม 2,ภาษา,ABC Publishing,ชั้น A1
A-0055,การตลาดขั้นกลาง ฉบับพิมพ์ครั้งที่ 2,สุขภาพ,Global Reader,ชั้น E6
A-0056,จิตวิทยาคู่มือ เล่ม 1: กรณีศึกษา,เทคโนโลยี,ABC Publishing,ชั้น C4
A-0057,ศิลปะคู่มือ เล่ม 3,คอมพิวเตอร์,Learning Co.,ชั้น C4
A-0058,การจัดการโครงการเบื้องต้น Edition 3,สังคมศึกษา,Siam Knowledge,ชั้น A7
A-0059,บัญชีคู่มือ 2026,วิทยาศาสตร์,History Press,ชั้น B1
A-0060,ปัญญาประดิษฐ์ขั้นกลาง 2026: แบบฝึกหัดพร้อมเฉลย,ศิลปะ,Siam Knowledge,ชั้น E8
A-0061,ปัญญาประดิษฐ์ขั้นสูง ฉบับพิมพ์ครั้งที่ 2,การศึกษา,EduPlus,ชั้น A3
A-0062,สถิติเชิงปฏิบัติ ฉบับปรับปรุง,สุขภาพ,TechWorld,ชั้น B10
A-0063,วิทยาการข้อมูลขั้นสูง ฉบับปรับปรุง: กรณีศึกษา,ศิลปะ,TechWorld,ชั้น B8
A-0064,สถิติพื้นฐาน ฉบับพิมพ์ครั้งที่ 2,เทคโนโลยี,EduPlus,ชั้น E4
A-0065,วิทยาการข้อมูลคู่มือ Edition 3,การศึกษา,Learning Co.,ชั้น B2
A-0066,ศิลปะฉบับสมบูรณ์ เล่ม 1: Workshop,ธุรกิจ,BookHub,ชั้น C1
A-0067,จิตวิทยาคู่มือ เล่ม 2,นิยาย,History Press,ชั้น B7
A-0068,คณิตศาสตร์เพื่อการสื่อสาร เล่ม 1,เทคโนโลยี,Siam Knowledge,ชั้น E7
A-0069,ฐานข้อมูลขั้นสูง Edition 3,อ้างอิง,TechWorld,ชั้น D10
A-0070,การตลาดพื้นฐาน ฉบับพิมพ์ครั้งที่ 2,อ้างอิง,EduPlus,ชั้น C1
A-0071,การเงินฉบับสมบูรณ์ 2024: Workshop,อ้างอิง,EduPlus,ชั้น E4
A-0072,ฐานข้อมูลขั้นกลาง,ศิลปะ,Global Reader,ชั้น A1
A-0073,กฎหมายเบื้องต้นฉบับสมบูรณ์ ฉบับปรับปรุง,นิยาย,NextGen Media,ชั้น E2
A-0074,การตลาดเชิงปฏิบัติ 2025,สังคมศึกษา,Global Reader,ชั้น D1
A-0075,ปัญญาประดิษฐ์ขั้นกลาง เล่ม 2,อ้างอิง,Siam Knowledge,ชั้น D10
A-0076,การตลาดพื้นฐาน ฉบับปรับปรุง,สังคมศึกษา,History Press,ชั้น A10
A-0077,การเขียนโปรแกรมเบื้องต้น ฉบับปรับปรุง,นิยาย,XYZ Press,ชั้น C10
A-0078,จิตวิทยาขั้นสูง 2026,สังคมศึกษา,Science House,ชั้น E2
A-0079,เครือข่ายคอมพิวเตอร์เบื้องต้น เล่ม 2,สังคมศึกษา,Science House,ชั้น E5
A-0080,ภาษาไทยเชิงปฏิบัติ เล่ม 1,การศึกษา,ThaiBooks,ชั้น A9
A-0081,ปัญญาประดิษฐ์เชิงปฏิบัติ 2024,นิยาย,TechWorld,ชั้น E9
A-0082,การจัดการโครงการเชิงปฏิบัติ,เทคโนโลยี,EduPlus,ชั้น D6
A-0083,ปรัชญาขั้นกลาง 2025,สังคมศึกษา,Siam Knowledge,ชั้น B8
A-0084,ความปลอดภัยไซเบอร์คู่มือ 2025,ภาษา,ThaiBooks,ชั้น A5
A-0085,เครือข่ายคอมพิวเตอร์ฉบับสมบูรณ์ ฉบับปรับปรุง,ธุรกิจ,Global Reader,ชั้น A6
A-0086,ภาษาอังกฤษขั้นกลาง ฉบับปรับปรุง,วิทยาศาสตร์,BookHub,ชั้น B4
A-0087,ชีววิทยาเพื่อการสื่อสาร 2026,สุขภาพ,EduPlus,ชั้น A4
A-0088,เคมีเพื่อการสื่อสาร 2026,นิยาย,BookHub,ชั้น A2
A-0089,สถิติเพื่อการสื่อสาร 2025: แบบฝึกหัดพร้อมเฉลย,ภาษา,EduPlus,ชั้น C7
A-0090,ดนตรีคู่มือ,สุขภาพ,History Press,ชั้น B8
A-0091,จิตวิทยาเชิงปฏิบัติ เล่ม 1,อ้างอิง,Siam Knowledge,ชั้น C6
A-0092,ฐานข้อมูลขั้นกลาง 2025,นิยาย,Global Reader,ชั้น A2
A-0093,การพัฒนาซอฟต์แวร์เพื่อการสื่อสาร,คอมพิวเตอร์,XYZ Press,ชั้น E2
A-0094,จิตวิทยาขั้นกลาง 2025,ภาษา,EduPlus,ชั้น C1
A-0095,เคมีเชิงปฏิบัติ Edition 3,ศิลปะ,Learning Co.,ชั้น E9
A-0096,วิทยาการข้อมูลเพื่อการสื่อสาร ฉบับพิมพ์ครั้งที่ 2,สุขภาพ,ABC Publishing,ชั้น E8
A-0097,ดนตรีเบื้องต้น Edition 3,การศึกษา,Siam Knowledge,ชั้น A3
A-0098,ความปลอดภัยไซเบอร์เบื้องต้น ฉบับปรับปรุง,คอมพิวเตอร์,NextGen Media,ชั้น A10
A-0099,ภูมิศาสตร์ขั้นกลาง 2025,นิยาย,History Press,ชั้น C10
A-0100,เครือข่ายคอมพิวเตอร์ฉบับสมบูรณ์ Edition 3,นิยาย,BookHub,ชั้น E6
A-0101,ประวัติศาสตร์ขั้นกลาง ฉบับพิมพ์ครั้งที่ 2: แนวคิดและแบบฝึกหัด,ภาษา,NextGen Media,ชั้น E4
A-0102,การพัฒนาซอฟต์แวร์เพื่อการสื่อสาร 2026,สังคมศึกษา,XYZ Press,ชั้น D8
A-0103,เครือข่ายคอมพิวเตอร์ขั้นสูง เล่ม 2,ภาษา,Siam Knowledge,ชั้น D9
A-0104,ปัญญาประดิษฐ์พื้นฐาน,ธุรกิจ,Global Reader,ชั้น C8
A-0105,การออกแบบกราฟิกสำหรับผู้เริ่มต้น เล่ม 2,ธุรกิจ,ABC Publishing,ชั้น C7
A-0106,วิทยาการข้อมูลเชิงปฏิบัติ เล่ม 2,ธุรกิจ,Siam Knowledge,ชั้น C10
A-0107,เครือข่ายคอมพิวเตอร์ขั้นกลาง 2026,เทคโนโลยี,Siam Knowledge,ชั้น B8
A-0108,สุขศึกษาคู่มือ 2025,นิยาย,Learning Co.,ชั้น C1
A-0109,สถิติขั้นสูง เล่ม 2,สุขภาพ,History Press,ชั้น E9
A-0110,ปรัชญาเพื่อการสื่อสาร Edition 3: แบบฝึกหัดพร้อมเฉลย,วิทยาศาสตร์,ThaiBooks,ชั้น B4
A-0111,บัญชีฉบับสมบูรณ์ Edition 3,นิยาย,BookHub,ชั้น B8
A-0112,ดนตรีเบื้องต้น 2024,การศึกษา,History Press,ชั้น E7
A-0113,จิตวิทยาเชิงปฏิบัติ 2024,สุขภาพ,Siam Knowledge,ชั้น E6
A-0114,วรรณคดีไทยเชิงปฏิบัติ เล่ม 1: กรณีศึกษา,ศิลปะ,BookHub,ชั้น B6
A-0115,กฎหมายเบื้องต้นสำหรับผู้เริ่มต้น 2025,ธุรกิจ,EduPlus,ชั้น E8
A-0116,ดนตรีสำหรับผู้เริ่มต้น Edition 3,ภาษา,Learning Co.,ชั้น B7
A-0117,ภูมิศาสตร์พื้นฐาน ฉบับปรับปรุง,เทคโนโลยี,BookHub,ชั้น B2
A-0118,เคมีขั้นสูง 2025,นิยาย,Global Reader,ชั้น D9
A-0119,กฎหมายเบื้องต้นพื้นฐาน ฉบับปรับปรุง,ธุรกิจ,Science House,ชั้น B10
A-0120,การเขียนโปรแกรมคู่มือ เล่ม 3,คอมพิวเตอร์,Global Reader,ชั้น B9
A-0121,เครือข่ายคอมพิวเตอร์ขั้นกลาง 2025: แนวคิดและแบบฝึกหัด,นิยาย,Learning Co.,ชั้น D1
A-0122,วรรณคดีไทยเชิงปฏิบัติ Edition 3,คอมพิวเตอร์,Learning Co.,ชั้น D1
A-0123,ประวัติศาสตร์พื้นฐาน 2026,นิยาย,Siam Knowledge,ชั้น E4
A-0124,คณิตศาสตร์ขั้นกลาง เล่ม 3,ภาษา,XYZ Press,ชั้น B6
A-0125,ประวัติศาสตร์คู่มือ 2026,นิยาย,History Press,ชั้น E10
A-0126,ภาษาไทยเพื่อการสื่อสาร 2025,ภาษา,NextGen Media,ชั้น C8
A-0127,กฎหมายเบื้องต้นเบื้องต้น,การศึกษา,History Press,ชั้น E1
A-0128,เคมีฉบับสมบูรณ์ เล่ม 2,วิทยาศาสตร์,Global Reader,ชั้น A5
A-0129,ฟิสิกส์เบื้องต้น 2026,นิยาย,ThaiBooks,ชั้น B9
A-0130,คณิตศาสตร์ขั้นสูง ฉบับพิมพ์ครั้งที่ 2,สุขภาพ,XYZ Press,ชั้น E4
A-0131,ภูมิศาสตร์ฉบับสมบูรณ์,สังคมศึกษา,EduPlus,ชั้น A8
A-0132,ดนตรีขั้นสูง เล่ม 3,วิทยาศาสตร์,XYZ Press,ชั้น A4
A-0133,ฟิสิกส์ฉบับสมบูรณ์,นิยาย,Learning Co.,ชั้น C9
A-0134,ประวัติศาสตร์เชิงปฏิบัติ ฉบับพิมพ์ครั้งที่ 2,ภาษา,Global Reader,ชั้น D5
A-0135,วรรณคดีไทยเชิงปฏิบัติ เล่ม 2,ศิลปะ,BookHub,ชั้น C1
A-0136,สุขศึกษาฉบับสมบูรณ์ เล่ม 1: Hands-on,นิยาย,ABC Publishing,ชั้น E9
A-0137,การออกแบบกราฟิกฉบับสมบูรณ์: กรณีศึกษา,สุขภาพ,Global Reader,ชั้น E2
A-0138,ปรัชญาฉบับสมบูรณ์ เล่ม 3,ศิลปะ,Siam Knowledge,ชั้น D2
A-0139,ชีววิทยาเชิงปฏิบัติ Edition 3,ธุรกิจ,Siam Knowledge,ชั้น A7
A-0140,สถิติขั้นกลาง Edition 3,สุขภาพ,Learning Co.,ชั้น E3
A-0141,การเงินคู่มือ เล่ม 1,ธุรกิจ,Learning Co.,ชั้น C1
A-0142,ประวัติศาสตร์เพื่อการสื่อสาร 2024,คอมพิวเตอร์,Siam Knowledge,ชั้น D5
A-0143,ปรัชญาเพื่อการสื่อสาร เล่ม 1,ธุรกิจ,NextGen Media,ชั้น E9
A-0144,วรรณคดีไทยเชิงปฏิบัติ เล่ม 1,เทคโนโลยี,Science House,ชั้น B9
A-0145,ปรัชญาเชิงปฏิบัติ เล่ม 2: Hands-on,สังคมศึกษา,BookHub,ชั้น B1
A-0146,กฎหมายเบื้องต้นคู่มือ เล่ม 1,การศึกษา,History Press,ชั้น A8
A-0147,ปรัชญาพื้นฐาน เล่ม 3,ภาษา,Global Reader,ชั้น E6
A-0148,เศรษฐศาสตร์เพื่อการสื่อสาร 2025,สังคมศึกษา,ThaiBooks,ชั้น D6
A-0149,ภาษาอังกฤษเพื่อการสื่อสาร ฉบับปรับปรุง,เทคโนโลยี,BookHub,ชั้น A9
A-0150,สถิติพื้นฐาน ฉบับพิมพ์ครั้งที่ 2,ศิลปะ,TechWorld,ชั้น D3
A-0151,เศรษฐศาสตร์เบื้องต้น ฉบับพิมพ์ครั้งที่ 2,นิยาย,NextGen Media,ชั้น E3
A-0152,วรรณคดีไทยขั้นกลาง 2025,ธุรกิจ,TechWorld,ชั้น D6
A-0153,ความปลอดภัยไซเบอร์คู่มือ 2026,ธุรกิจ,History Press,ชั้น E5
A-0154,ภูมิศาสตร์เพื่อการสื่อสาร ฉบับปรับปรุง,ศิลปะ,ABC Publishing,ชั้น C1
A-0155,ฐานข้อมูลเชิงปฏิบัติ 2026,อ้างอิง,Siam Knowledge,ชั้น A10
A-0156,วรรณคดีไทยเบื้องต้น เล่ม 3,นิยาย,TechWorld,ชั้น A7
A-0157,สถิติเชิงปฏิบัติ เล่ม 2,สุขภาพ,ABC Publishing,ชั้น E7
A-0158,ภาษาอังกฤษเพื่อการสื่อสาร เล่ม 3: แบบฝึกหัดพร้อมเฉลย,ธุรกิจ,NextGen Media,ชั้น E5
A-0159,การเงินพื้นฐาน Edition 3,เทคโนโลยี,EduPlus,ชั้น C1
A-0160,โภชนาการเชิงปฏิบัติ 2024: แนวคิดและแบบฝึกหัด,สังคมศึกษา,Siam Knowledge,ชั้น E4
A-0161,การพัฒนาซอฟต์แวร์ฉบับสมบูรณ์ ฉบับปรับปรุง,ศิลปะ,XYZ Press,ชั้น E9
A-0162,โภชนาการพื้นฐาน 2025,ภาษา,ABC Publishing,ชั้น A3
A-0163,การตลาดเบื้องต้น ฉบับพิมพ์ครั้งที่ 2,ศิลปะ,Science House,ชั้น B6
A-0164,ภาษาไทยเพื่อการสื่อสาร,วิทยาศาสตร์,Science House,ชั้น B2
A-0165,ชีววิทยาเพื่อการสื่อสาร,สุขภาพ,NextGen Media,ชั้น A10
A-0166,ภูมิศาสตร์เชิงปฏิบัติ ฉบับพิมพ์ครั้งที่ 2,อ้างอิง,ABC Publishing,ชั้น C10
A-0167,การจัดการโครงการฉบับสมบูรณ์ 2024,สุขภาพ,TechWorld,ชั้น D8
