reg_no,title,category,publisher,shelf
A-0335,เศรษฐศาสตร์ขั้นกลาง เล่ม 2,นิยาย,History Press,ชั้น B6
A-0336,คณิตศาสตร์คู่มือ ฉบับปรับปรุง,คอมพิวเตอร์,XYZ Press,ชั้น C7
A-0337,การตลาดเชิงปฏิบัติ เล่ม 2,วิทยาศาสตร์,ABC Publishing,ชั้น D6
A-0338,การพัฒนาซอฟต์แวร์ขั้นกลาง 2026,สุขภาพ,ThaiBooks,ชั้น E2
A-0339,เคมีฉบับสมบูรณ์ Edition 3,คอมพิวเตอร์,XYZ Press,ชั้น E2
A-0340,ศิลปะขั้นสูง 2024,คอมพิวเตอร์,Science House,ชั้น C7
A-0341,การจัดการโครงการขั้นกลาง เล่ม 1,ศิลปะ,ThaiBooks,ชั้น B2
A-0342,การพัฒนาซอฟต์แวร์ฉบับสมบูรณ์ เล่ม 1: Hands-on,นิยาย,XYZ Press,ชั้น C2
A-0343,กฎหมายเบื้องต้นเชิงปฏิบัติ 2024,วิทยาศาสตร์,Global Reader,ชั้น C10
A-0344,เศรษฐศาสตร์ขั้นสูง เล่ม 2,สุขภาพ,Siam Knowledge,ชั้น B7
A-0345,เครือข่ายคอมพิวเตอร์ขั้นกลาง เล่ม 1,ภาษา,NextGen Media,ชั้น E4
A-0346,ความปลอดภัยไซเบอร์ขั้นสูง เล่ม 3,อ้างอิง,EduPlus,ชั้น C8
A-0347,ภาษาไทยสำหรับผู้เริ่มต้น เล่ม 2,การศึกษา,Science House,ชั้น A9
A-0348,วรรณคดีไทยสำหรับผู้เริ่มต้น ฉบับปรับปรุง: Workshop,สังคมศึกษา,ThaiBooks,ชั้น E9
A-0349,เศรษฐศาสตร์สำหรับผู้เริ่มต้น ฉบับพิมพ์ครั้งที่ 2,นิยาย,ABC Publishing,ชั้น B7
A-0350,โภชนาการสำหรับผู้เริ่มต้น ฉบับปรับปรุง: แนวคิดและแบบฝึกหัด,สุขภาพ,Learning Co.,ชั้น B1
A-0351,การเงินคู่มือ ฉบับพิมพ์ครั้งที่ 2,อ้างอิง,Learning Co.,ชั้น C4
A-0352,สุขศึกษาขั้นสูง ฉบับปรับปรุง,สุขภาพ,Science House,ชั้น C10
A-0353,ฐานข้อมูลสำหรับผู้เริ่มต้น 2026,สุขภาพ,Global Reader,ชั้น E3
A-0354,วิทยาการข้อมูลขั้นสูง ฉบับปรับปรุง,นิยาย,XYZ Press,ชั้น D4
A-0355,ปรัชญาคู่มือ Edition 3: Hands-on,การศึกษา,ABC Publishing,ชั้น D6
A-0356,การจัดการโครงการคู่มือ ฉบับปรับปรุง,วิทยาศาสตร์,Science House,ชั้น C1
A-0357,สถิติคู่มือ 2025: กรณีศึกษา,นิยาย,ThaiBooks,ชั้น A6
A-0358,การจัดการโครงการคู่มือ 2025,สุขภาพ,Science House,ชั้น D3
A-0359,จิตวิทยาเชิงปฏิบัติ: Workshop,อ้างอิง,Learning Co.,ชั้น E7
A-0360,การเขียนโปรแกรมเพื่อการสื่อสาร ฉบับพิมพ์ครั้งที่ 2,สังคมศึกษา,NextGen Media,ชั้น A5
A-0361,คณิตศาสตร์เพื่อการสื่อสาร Edition 3,เทคโนโลยี,ABC Publishing,ชั้น A5
A-0362,การพัฒนาซอฟต์แวร์เชิงปฏิบัติ เล่ม 1,วิทยาศาสตร์,Science House,ชั้น E10
A-0363,โภชนาการเพื่อการสื่อสาร Edition 3,ศิลปะ,ThaiBooks,ชั้น C5
A-0364,การเงินพื้นฐาน 2024: แบบฝึกหัดพร้อมเฉลย,การศึกษา,Science House,ชั้น D5
A-0365,การเงินคู่มือ เล่ม 3,สังคมศึกษา,ABC Publishing,ชั้น E9
A-0366,การเขียนโปรแกรมฉบับสมบูรณ์ 2025,เทคโนโลยี,EduPlus,ชั้น D5
A-0367,การเงินขั้นสูง ฉบับปรับปรุง,วิทยาศาสตร์,Learning Co.,ชั้น B3
A-0368,การพัฒนาซอฟต์แวร์พื้นฐาน เล่ม 1,ศิลปะ,NextGen Media,ชั้น E10
A-0369,การพัฒนาซอฟต์แวร์เบื้องต้น ฉบับปรับปรุง,การศึกษา,NextGen Media,ชั้น A3
A-0370,ปรัชญาเบื้องต้น ฉบับปรับปรุง,ศิลปะ,ThaiBooks,ชั้น B5
A-0371,ดนตรีขั้นสูง เล่ม 1: แบบฝึกหัดพร้อมเฉลย,สังคมศึกษา,BookHub,ชั้น D7
A-0372,การตลาดสำหรับผู้เริ่มต้น ฉบับปรับปรุง,วิทยาศาสตร์,Siam Knowledge,ชั้น D4
A-0373,ภูมิศาสตร์เพื่อการสื่อสาร ฉบับพิมพ์ครั้งที่ 2,เทคโนโลยี,NextGen Media,ชั้น E8
A-0374,การพัฒนาซอฟต์แวร์ขั้นกลาง 2026,คอมพิวเตอร์,TechWorld,ชั้น E2
A-0375,การออกแบบกราฟิกเพื่อการสื่อสาร 2024,ศิลปะ,EduPlus,ชั้น A10
A-0376,กฎหมายเบื้องต้นเพื่อการสื่อสาร เล่ม 3,สุขภาพ,History Press,ชั้น B5
A-0377,กฎหมายเบื้องต้นขั้นกลาง 2025,เทคโนโลยี,EduPlus,ชั้น C7
A-0378,ดนตรีคู่มือ เล่ม 3,ภาษา,History Press,ชั้น C2
A-0379,โภชนาการพื้นฐาน 2025,การศึกษา,Global Reader,ชั้น E7
A-0380,วิทยาการข้อมูลขั้นสูง เล่ม 1,อ้างอิง,NextGen Media,ชั้น D9
A-0381,คณิตศาสตร์พื้นฐาน ฉบับปรับปรุง,นิยาย,BookHub,ชั้น E3
A-0382,ดนตรีขั้นสูง 2025,ธุรกิจ,Learning Co.,ชั้น A1
A-0383,เคมีขั้นสูง เล่ม 2,สุขภาพ,History Press,ชั้น E5
A-0384,สุขศึกษาขั้นสูง 2026,เทคโนโลยี,TechWorld,ชั้น E10
A-0385,กฎหมายเบื้องต้นเพื่อการสื่อสาร 2025,ธุรกิจ,Learning Co.,ชั้น B7
A-0386,บัญชีคู่มือ 2025,สุขภาพ,TechWorld,ชั้น B4
A-0387,บัญชีสำหรับผู้เริ่มต้น 2026: กรณีศึกษา,วิทยาศาสตร์,ABC Publishing,ชั้น B7
A-0388,ดนตรีเพื่อการสื่อสาร ฉบับพิมพ์ครั้งที่ 2,ธุรกิจ,History Press,ชั้น C5
A-0389,ศิลปะขั้นสูง 2025,อ้างอิง,TechWorld,ชั้น B7
A-0390,ความปลอดภัยไซเบอร์เชิงปฏิบัติ 2025,ธุรกิจ,Science House,ชั้น A9
A-0391,ฐานข้อมูลคู่มือ 2025,เทคโนโลยี,Siam Knowledge,ชั้น A4
A-0392,ภาษาไทยเบื้องต้น เล่ม 2,อ้างอิง,ABC Publishing,ชั้น E9
A-0393,การเขียนโปรแกรมเพื่อการสื่อสาร เล่ม 3,สังคมศึกษา,XYZ Press,ชั้น E6
A-0394,ภาษาอังกฤษเบื้องต้น ฉบับปรับปรุง,ธุรกิจ,ABC Publishing,ชั้น D10
A-0395,โภชนาการเชิงปฏิบัติ 2025: Hands-on,เทคโนโลยี,EduPlus,ชั้น A1
A-0396,การเขียนโปรแกรมคู่มือ ฉบับพิมพ์ครั้งที่ 2,ภาษา,ABC Publishing,ชั้น D3
A-0397,วิทยาการข้อมูลเพื่อการสื่อสาร เล่ม 3: แนวคิดและแบบฝึกหัด,เทคโนโลยี,Science House,ชั้น B6
A-0398,เคมีคู่มือ ฉบับพิมพ์ครั้งที่ 2,ภาษา,EduPlus,ชั้น A6
A-0399,บัญชีเพื่อการสื่อสาร 2025,สังคมศึกษา,Learning Co.,ชั้น E4
A-0400,วิทยาการข้อมูลพื้นฐาน เล่ม 1: Workshop,ศิลปะ,Global Reader,ชั้น D1
A-0401,คณิตศาสตร์เบื้องต้น เล่ม 3: Workshop,อ้างอิง,TechWorld,ชั้น D7
A-0402,สถิติพื้นฐาน 2024,สังคมศึกษา,History Press,ชั้น E5
A-0403,การจัดการโครงการเชิงปฏิบัติ ฉบับพิมพ์ครั้งที่ 2: แนวคิดและแบบฝึกหัด,อ้างอิง,Learning Co.,ชั้น D5
A-0404,ศิลปะเบื้องต้น เล่ม 3,ธุรกิจ,ABC Publishing,ชั้น B4
A-0405,ศิลปะขั้นกลาง 2026,ภาษา,Science House,ชั้น D7
A-0406,ภูมิศาสตร์เพื่อการสื่อสาร 2024,วิทยาศาสตร์,BookHub,ชั้น E7
A-0407,ชีววิทยาคู่มือ Edition 3: Workshop,สังคมศึกษา,XYZ Press,ชั้น C2
A-0408,สุขศึกษาเพื่อการสื่อสาร Edition 3: แบบฝึกหัดพร้อมเฉลย,สุขภาพ,ThaiBooks,ชั้น B5
A-0409,บัญชีคู่มือ 2026,อ้างอิง,NextGen Media,ชั้น E3
A-0410,การเงินพื้นฐาน,สังคมศึกษา,BookHub,ชั้น A5
A-0411,ชีววิทยาฉบับสมบูรณ์ เล่ม 3,อ้างอิง,Science House,ชั้น E8
A-0412,การเงินสำหรับผู้เริ่มต้น Edition 3: แนวคิดและแบบฝึกหัด,ภาษา,ThaiBooks,ชั้น C4
A-0413,ความปลอดภัยไซเบอร์ฉบับสมบูรณ์ เล่ม 2: กรณีศึกษา,ศิลปะ,ThaiBooks,ชั้น D6
A-0414,ดนตรีคู่มือ 2026: แนวคิดและแบบฝึกหัด,ธุรกิจ,Global Reader,ชั้น A6
A-0415,สุขศึกษาสำหรับผู้เริ่มต้น 2026: Workshop,ศิลปะ,XYZ Press,ชั้น E7
A-0416,การจัดการโครงการคู่มือ ฉบับปรับปรุง,วิทยาศาสตร์,Siam Knowledge,ชั้น C5
A-0417,ฟิสิกส์ขั้นกลาง ฉบับพิมพ์ครั้งที่ 2,สุขภาพ,Science House,ชั้น A5
A-0418,ฟิสิกส์เพื่อการสื่อสาร ฉบับพิมพ์ครั้งที่ 2,สุขภาพ,XYZ Press,ชั้น C4
A-0419,เศรษฐศาสตร์ขั้นสูง 2025,สังคมศึกษา,ThaiBooks,ชั้น A7
A-0420,ภาษาอังกฤษฉบับสมบูรณ์ เล่ม 1,ธุรกิจ,NextGen Media,ชั้น C5
A-0421,ปัญญาประดิษฐ์สำหรับผู้เริ่มต้น 2025,อ้างอิง,NextGen Media,ชั้น A9
A-0422,กฎหมายเบื้องต้นสำหรับผู้เริ่มต้น,สังคมศึกษา,ThaiBooks,ชั้น C1
A-0423,ฟิสิกส์เพื่อการสื่อสาร Edition 3,อ้างอิง,ThaiBooks,ชั้น D7
A-0424,ปัญญาประดิษฐ์ขั้นสูง Edition 3,ศิลปะ,TechWorld,ชั้น A8
A-0425,การพัฒนาซอฟต์แวร์ขั้นสูง,วิทยาศาสตร์,Siam Knowledge,ชั้น E10
A-0426,ดนตรีเบื้องต้น 2025,สังคมศึกษา,ThaiBooks,ชั้น B9
A-0427,วิทยาการข้อมูลพื้นฐาน 2026,วิทยาศาสตร์,Siam Knowledge,ชั้น B10
A-0428,ภูมิศาสตร์ฉบับสมบูรณ์ เล่ม 3,ศิลปะ,XYZ Press,ชั้น C9
A-0429,สุขศึกษาเชิงปฏิบัติ,เทคโนโลยี,BookHub,ชั้น C7
A-0430,ดนตรีเบื้องต้น Edition 3,เทคโนโลยี,NextGen Media,ชั้น E1
A-0431,การพัฒนาซอฟต์แวร์พื้นฐาน เล่ม 2,อ้างอิง,Siam Knowledge,ชั้น C3
A-0432,ฟิสิกส์เบื้องต้น,อ้างอิง,Siam Knowledge,ชั้น C6
A-0433,ความปลอดภัยไซเบอร์สำหรับผู้เริ่มต้น 2026: แนวคิดและแบบฝึกหัด,ภาษา,History Press,ชั้น D3
A-0434,ฐานข้อมูลคู่มือ 2024,นิยาย,History Press,ชั้น C9
A-0435,บัญชีเพื่อการสื่อสาร 2025,นิยาย,BookHub,ชั้น D3
A-0436,ภาษาอังกฤษสำหรับผู้เริ่มต้น เล่ม 1,ภาษา,EduPlus,ชั้น A6
A-0437,ประวัติศาสตร์ขั้นกลาง Edition 3,สุขภาพ,History Press,ชั้น D4
A-0438,วรรณคดีไทยสำหรับผู้เริ่มต้น 2025: Workshop,ธุรกิจ,XYZ Press,ชั้น B10
A-0439,คณิตศาสตร์พื้นฐาน เล่ม 1,อ้างอิง,XYZ Press,ชั้น E4
A-0440,ปัญญาประดิษฐ์ขั้นกลาง ฉบับปรับปรุง,เทคโนโลยี,Science House,ชั้น C2
A-0441,ดนตรีเพื่อการสื่อสาร 2025,ศิลปะ,Siam Knowledge,ชั้น B2
A-0442,ฟิสิกส์เพื่อการสื่อสาร 2026: Hands-on,สังคมศึกษา,ThaiBooks,ชั้น D8
A-0443,จิตวิทยาเพื่อการสื่อสาร เล่ม 1,สังคมศึกษา,Learning Co.,ชั้น E9
A-0444,เครือข่ายคอมพิวเตอร์พื้นฐาน: Hands-on,วิทยาศาสตร์,TechWorld,ชั้น C1
A-0445,เคมีเชิงปฏิบัติ เล่ม 2,สุขภาพ,Global Reader,ชั้น E1
A-0446,การตลาดเพื่อการสื่อสาร,การศึกษา,TechWorld,ชั้น C3
A-0447,สถิติเชิงปฏิบัติ,อ้างอิง,BookHub,ชั้น B10
A-0448,การพัฒนาซอฟต์แวร์พื้นฐาน เล่ม 3,สังคมศึกษา,Learning Co.,ชั้น A8
A-0449,ฟิสิกส์สำหรับผู้เริ่มต้น เล่ม 3,ศิลปะ,NextGen Media,ชั้น A9
A-0450,ศิลปะเพื่อการสื่อสาร 2026,อ้างอิง,Global Reader,ชั้น E5
A-0451,การพัฒนาซอฟต์แวร์ขั้นกลาง 2024,ภาษา,Science House,ชั้น B2
A-0452,การตลาดเชิงปฏิบัติ: แบบฝึกหัดพร้อมเฉลย,คอมพิวเตอร์,ThaiBooks,ชั้น A9
A-0453,เคมีเพื่อการสื่อสาร 2024,สุขภาพ,EduPlus,ชั้น E4
A-0454,วรรณคดีไทยเพื่อการสื่อสาร 2025,การศึกษา,NextGen Media,ชั้น A2
A-0455,ปัญญาประดิษฐ์ขั้นสูง ฉบับพิมพ์ครั้งที่ 2: กรณีศึกษา,เทคโนโลยี,Learning Co.,ชั้น B1
A-0456,ความปลอดภัยไซเบอร์เชิงปฏิบัติ,สุขภาพ,Global Reader,ชั้น D3
A-0457,ประวัติศาสตร์พื้นฐาน ฉบับพิมพ์ครั้งที่ 2,ธุรกิจ,Global Reader,ชั้น E9
A-0458,คณิตศาสตร์เชิงปฏิบัติ 2024,ศิลปะ,XYZ Press,ชั้น E8
A-0459,วิทยาการข้อมูลขั้นสูง ฉบับพิมพ์ครั้งที่ 2,คอมพิวเตอร์,ThaiBooks,ชั้น B7
A-0460,บัญชีพื้นฐาน 2025,การศึกษา,History Press,ชั้น B4
A-0461,ปัญญาประดิษฐ์สำหรับผู้เริ่มต้น,วิทยาศาสตร์,NextGen Media,ชั้น A9
A-0462,ปัญญาประดิษฐ์ขั้นสูง ฉบับปรับปรุง,นิยาย,TechWorld,ชั้น D5
A-0463,เศรษฐศาสตร์คู่มือ เล่ม 3,ภาษา,Learning Co.,ชั้น D7
A-0464,เศรษฐศาสตร์คู่มือ เล่ม 2: Workshop,คอมพิวเตอร์,Learning Co.,ชั้น E2
A-0465,ภาษาอังกฤษขั้นกลาง ฉบับปรับปรุง: แบบฝึกหัดพร้อมเฉลย,สังคมศึกษา,Siam Knowledge,ชั้น C6
A-0466,วรรณคดีไทยขั้นกลาง,อ้างอิง,EduPlus,ชั้น C5
A-0467,ปรัชญาพื้นฐาน เล่ม 2,ภาษา,BookHub,ชั้น C4
A-0468,ปรัชญาเชิงปฏิบัติ Edition 3,การศึกษา,BookHub,ชั้น C10
A-0469,โภชนาการสำหรับผู้เริ่มต้น เล่ม 2,ศิลปะ,History Press,ชั้น C8
A-0470,วิทยาการข้อมูลขั้นสูง 2025,ภาษา,TechWorld,ชั้น D6
A-0471,ศิลปะขั้นกลาง,ธุรกิจ,Siam Knowledge,ชั้น E9
A-0472,คณิตศาสตร์เบื้องต้น เล่ม 2,สุขภาพ,ABC Publishing,ชั้น A8
A-0473,การพัฒนาซอฟต์แวร์ขั้นกลาง 2025,ศิลปะ,History Press,ชั้น E5
A-0474,การพัฒนาซอฟต์แวร์ขั้นกลาง ฉบับพิมพ์ครั้งที่ 2,ภาษา,XYZ Press,ชั้น E2
A-0475,บัญชีฉบับสมบูรณ์ เล่ม 2,อ้างอิง,Science House,ชั้น A4
A-0476,การเงินฉบับสมบูรณ์ ฉบับปรับปรุง,การศึกษา,BookHub,ชั้น A7
A-0477,การเขียนโปรแกรมขั้นสูง 2025: Hands-on,สังคมศึกษา,Global Reader,ชั้น E4
A-0478,ปรัชญาเบื้องต้น เล่ม 1,การศึกษา,EduPlus,ชั้น E5
A-0479,ภาษาอังกฤษเชิงปฏิบัติ เล่ม 2,การศึกษา,BookHub,ชั้น A7
A-0480,ประวัติศาสตร์สำหรับผู้เริ่มต้น Edition 3,วิทยาศาสตร์,EduPlus,ชั้น E10
A-0481,วิทยาการข้อมูลขั้นกลาง เล่ม 3: Hands-on,คอมพิวเตอร์,NextGen Media,ชั้น E2
A-0482,ฟิสิกส์เชิงปฏิบัติ Edition 3,อ้างอิง,BookHub,ชั้น A10
A-0483,การพัฒนาซอฟต์แวร์เพื่อการสื่อสาร,สังคมศึกษา,XYZ Press,ชั้น A7
A-0484,ภาษาอังกฤษพื้นฐาน,ธุรกิจ,EduPlus,ชั้น C1
A-0485,ปัญญาประดิษฐ์ขั้นกลาง ฉบับปรับปรุง,การศึกษา,History Press,ชั้น D6
A-0486,สุขศึกษาฉบับสมบูรณ์ เล่ม 1,อ้างอิง,Learning Co.,ชั้น B4
A-0487,ภาษาไทยคู่มือ ฉบับปรับปรุง,ภาษา,Siam Knowledge,ชั้น A4
A-0488,ปัญญาประดิษฐ์ขั้นสูง 2025,สังคมศึกษา,ThaiBooks,ชั้น E1
A-0489,สุขศึกษาพื้นฐาน 2024,คอมพิวเตอร์,TechWorld,ชั้น C1
A-0490,ภาษาอังกฤษเพื่อการสื่อสาร,เทคโนโลยี,Siam Knowledge,ชั้น B2
A-0491,ความปลอดภัยไซเบอร์เชิงปฏิบัติ เล่ม 2: แนวคิดและแบบฝึกหัด,คอมพิวเตอร์,Learning Co.,ชั้น B4
A-0492,คณิตศาสตร์เบื้องต้น 2026,อ้างอิง,BookHub,ชั้น D3
A-0493,ความปลอดภัยไซเบอร์เพื่อการสื่อสาร 2026,การศึกษา,Siam Knowledge,ชั้น D5
A-0494,ดนตรีขั้นกลาง ฉบับพิมพ์ครั้งที่ 2: แนวคิดและแบบฝึกหัด,เทคโนโลยี,History Press,ชั้น A10
A-0495,ดนตรีสำหรับผู้เริ่มต้น 2026,อ้างอิง,Siam Knowledge,ชั้น E2
A-0496,ชีววิทยาฉบับสมบูรณ์ 2026,สังคมศึกษา,ABC Publishing,ชั้น B6
A-0497,ชีววิทยาเพื่อการสื่อสาร เล่ม 2,นิยาย,ABC Publishing,ชั้น B10
A-0498,การออกแบบกราฟิกขั้นกลาง เล่ม 2: กรณีศึกษา,คอมพิวเตอร์,Science House,ชั้น D2
A-0499,บัญชีคู่มือ 2024,ภาษา,Science House,ชั้น C4
A-0500,ภาษาอังกฤษฉบับสมบูรณ์ เล่ม 2,คอมพิวเตอร์,TechWorld,ชั้น C8
